Queries,cleaned_queries,kmeans_cluster,hdbscan_cluster,x,y
could you help me check the status of the refund?,could you help me check the status of the refund?,0,13,30.352255,-63.030704
could you help me check what delivery options I can choose?,could you help me check what delivery options i can choose?,7,30,14.706978,78.38632
could you help me check what options for delivery you offer?,could you help me check what options for delivery you offer?,7,30,15.223279,82.26932
could you help me check what payment methods are available?,could you help me check what payment methods are available?,1,16,44.275585,-21.7495
could you help me check what payment methods you accept?,could you help me check what payment methods you accept?,1,16,40.11042,-15.92677
could you help me check when my delivery is going to arrive?,could you help me check when my delivery is going to arrive?,7,43,58.930786,52.702816
could you help me check your allowed payment methods?,could you help me check your allowed payment methods?,1,16,30.96098,-22.566542
could you help me check your money back policy?,could you help me check your money back policy?,0,2,-18.831316,-80.41303
could you help me checking how long refunds usually take?,could you help me checking how long refunds usually take?,0,8,51.365524,-71.27862
could you help me checking how soon can I expect the item?,could you help me checking how soon can i expect the item?,7,35,76.34255,39.393692
could you help me checking my order ETA?,could you help me checking my order eta?,6,40,66.81046,24.295618
could you help me checking the cancellation fee?,could you help me checking the cancellation fee?,5,32,-17.043959,-52.55237
could you help me checking the cancellation fees?,could you help me checking the cancellation fees?,5,32,-15.8992815,-52.230183
could you help me checking the invoices from 1 months ago?,could you help me checking the invoices from 1 months ago?,3,1,77.90466,7.4282317
could you help me checking the options for delivery?,could you help me checking the options for delivery?,7,30,9.10793,76.45806
could you help me checking the refund status?,could you help me checking the refund status?,0,13,29.999643,-62.594055
could you help me checking the status of my order?,could you help me checking the status of my order?,6,45,47.91151,34.657116
could you help me checking what delivery options I have?,could you help me checking what delivery options i have?,7,30,13.905848,77.15036
could you help me checking what payment methods you accept?,could you help me checking what payment methods you accept?,1,16,40.482285,-16.024323
could you help me checking when my item is going to arrive?,could you help me checking when my item is going to arrive?,7,39,65.99975,44.956352
could you help me checking when will my item arrive?,could you help me checking when will my item arrive?,7,39,67.78971,42.371384
could you help me checking your allowed payment methods?,could you help me checking your allowed payment methods?,1,16,30.880148,-22.417604
could you help me checking your money back policy?,could you help me checking your money back policy?,0,2,-18.89144,-80.374825
could you help me checking your refund policy?,could you help me checking your refund policy?,0,12,12.209249,-57.376755
could you help me contact customer service?,could you help me contact customer service?,9,41,-19.650959,-20.105946
could you help me contacting customer service?,could you help me contacting customer service?,9,41,-19.674105,-20.12435
could you help me create an account?,could you help me create an account?,2,103,-42.210186,-0.34297508
could you help me creating an account?,could you help me creating an account?,2,103,-42.359894,-0.45331496
could you help me delete an account?,could you help me delete an account?,2,78,-39.505054,-31.158833
could you help me delete my account?,could you help me delete my account?,2,78,-40.827965,-30.087914
could you help me delete the account?,could you help me delete the account?,2,78,-38.493187,-31.47093
could you help me deleting an account?,could you help me deleting an account?,2,78,-39.41463,-30.954565
could you help me deleting my account?,could you help me deleting my account?,2,78,-40.736378,-29.996916
could you help me edit my account?,could you help me edit my account?,2,99,-71.96924,8.253979
could you help me edit my personal information?,could you help me edit my personal information?,2,100,-89.541534,16.36046
could you help me edit the information on my account?,could you help me edit the information on my account?,2,99,-75.51932,8.384317
could you help me editing my account?,could you help me editing my account?,2,99,-71.909805,8.125537
could you help me editing my personal information?,could you help me editing my personal information?,2,100,-89.49898,16.34489
could you help me editing the information on my account?,could you help me editing the information on my account?,2,99,-75.58438,8.354835
could you help me file a complaint against your business?,could you help me file a complaint against your business?,9,70,2.497613,-42.34728
could you help me file a complaint?,could you help me file a complaint?,9,64,13.089333,-38.044647
could you help me filing a complaint against your business?,could you help me filing a complaint against your business?,9,70,1.9625612,-42.39241
could you help me filing a complaint?,could you help me filing a complaint?,9,64,13.082132,-37.869755
could you help me finding the invoice from October?,could you help me finding the invoice from october?,3,1,73.31354,-2.5418808
could you help me finding the invoice?,could you help me finding the invoice?,3,1,63.830364,-4.3237596
could you help me finding the invoices from last month?,could you help me finding the invoices from last month?,3,1,81.36005,2.0599327
could you help me finding the invoices?,could you help me finding the invoices?,3,1,63.0762,5.7928076
could you help me get a refund of money?,could you help me get a refund of money?,0,19,8.078297,-79.51365
could you help me get a refund?,could you help me get a refund?,0,19,6.9253435,-77.502365
could you help me get my invoice?,could you help me get my invoice?,3,1,65.03027,-4.8011866
could you help me get refunds of money?,could you help me get refunds of money?,0,19,6.8834834,-84.50709
could you help me get the invoice from my last purchase?,could you help me get the invoice from my last purchase?,3,1,52.940678,-0.81027037
could you help me get the invoice from September?,could you help me get the invoice from september?,3,1,77.49819,-6.570333
could you help me get the invoices from last month?,could you help me get the invoices from last month?,3,1,81.19221,1.5231485
could you help me get the invoices?,could you help me get the invoices?,3,1,63.391357,6.3239594
could you help me getting a refund of money?,could you help me getting a refund of money?,0,19,8.032466,-79.5386
could you help me getting a refund?,could you help me getting a refund?,0,19,6.86209,-77.50697
could you help me getting my money back?,could you help me getting my money back?,0,20,-4.466782,-79.8874
could you help me getting refunds of money?,could you help me getting refunds of money?,0,19,6.901697,-84.5085
could you help me getting the invoice from 10 months ago?,could you help me getting the invoice from 10 months ago?,3,1,74.31966,8.226452
could you help me getting the invoice from 5 purchases ago?,could you help me getting the invoice from 5 purchases ago?,3,1,43.993374,2.8084924
could you help me getting the invoice?,could you help me getting the invoice?,3,1,64.75753,-4.767951
could you help me getting the invoices from May?,could you help me getting the invoices from may?,3,1,81.793594,-7.735963
could you help me getting the invoices?,could you help me getting the invoices?,3,1,63.312733,6.448144
could you help me leave a review for a service?,could you help me leave a review for a service?,9,6,7.07297,-18.103512
could you help me leave a review?,could you help me leave a review?,9,6,12.76488,-14.94238
could you help me leaving a review for your company?,could you help me leaving a review for your company?,9,6,13.059561,-11.377957
could you help me make an order?,could you help me make an order?,6,50,14.55919,37.63552
could you help me recovering my password?,could you help me recovering my password?,2,65,-55.779922,-41.25077
could you help me registering?,could you help me registering?,8,94,-39.65074,16.32051
could you help me remove some items from an order?,could you help me remove some items from an order?,6,28,0.7285998,19.66261
could you help me remove some items?,could you help me remove some items?,6,28,-2.5946236,17.948803
could you help me removing something?,could you help me removing something?,2,28,-2.3336565,15.161401
could you help me report a payment issue?,could you help me report a payment issue?,1,21,61.584583,-30.867086
could you help me report a registration issue?,could you help me report a registration issue?,8,97,-49.09555,31.980032
could you help me report an issue with payments?,could you help me report an issue with payments?,1,21,65.77167,-32.82284
could you help me report registration issues?,could you help me report registration issues?,8,97,-47.856567,31.015398
could you help me reporting a registration issue?,could you help me reporting a registration issue?,8,97,-49.152367,31.991549
could you help me reporting an issue with payment?,could you help me reporting an issue with payment?,1,21,61.771465,-30.875769
could you help me reporting issues with payments?,could you help me reporting issues with payments?,1,21,65.142624,-32.117977
could you help me set a different shipping address up?,could you help me set a different shipping address up?,4,92,-14.898675,71.16254
could you help me set another shipping address up?,could you help me set another shipping address up?,4,90,-17.533262,70.30824
could you help me set up a different shipping address?,could you help me set up a different shipping address?,4,92,-14.570944,71.35366
could you help me setting a new shipping address up?,could you help me setting a new shipping address up?,4,81,-33.500916,75.78598
could you help me setting another shipping address up?,could you help me setting another shipping address up?,4,90,-17.690178,70.48346
could you help me setting up a different shipping address?,could you help me setting up a different shipping address?,4,92,-14.467245,71.50957
could you help me setting up a new shipping address?,could you help me setting up a new shipping address?,4,81,-33.487053,75.83225
could you help me setting up another shipping address?,could you help me setting up another shipping address?,4,90,-17.331938,70.5018
could you help me solve a payment issue?,could you help me solve a payment issue?,1,22,40.154034,-38.12122
could you help me solve an issue with payments?,could you help me solve an issue with payments?,1,22,38.570625,-40.597027
could you help me solve issues with payment?,could you help me solve issues with payment?,1,22,39.492886,-39.12949
could you help me solve issues with payments?,could you help me solve issues with payments?,1,22,38.525112,-40.843575
could you help me solving an issue with payments?,could you help me solving an issue with payments?,1,22,38.33968,-40.60236
could you help me solving issues with payment?,could you help me solving issues with payment?,1,22,38.982372,-39.19559
could you help me solving issues with payments?,could you help me solving issues with payments?,1,22,38.25077,-40.91334
could you help me solving payment issues?,could you help me solving payment issues?,1,22,39.07813,-39.166634
could you help me submit some feedback for a service?,could you help me submit some feedback for a service?,9,24,-4.5347652,-9.46096
could you help me submit some feedback for your company?,could you help me submit some feedback for your company?,9,18,1.360057,-1.4494376
could you help me submit some feedback?,could you help me submit some feedback?,9,23,-2.7064238,-1.8583308
could you help me submitting some feedback for a service?,could you help me submitting some feedback for a service?,9,24,-4.400584,-9.455336
could you help me subscribing to the company newsletter?,could you help me subscribing to the company newsletter?,9,61,-9.122776,25.603142
could you help me subscribing to the corporate newsletter?,could you help me subscribing to the corporate newsletter?,9,61,-9.045267,25.67463
could you help me switch to another account?,could you help me switch to another account?,2,105,-60.807655,-9.907855
could you help me switch user?,could you help me switch user?,2,106,-70.36266,-16.534975
could you help me switching to another account?,could you help me switching to another account?,2,105,-60.780075,-9.837991
could you help me take a quick look at my invoice?,could you help me take a quick look at my invoice?,3,1,64.874756,-1.0658383
could you help me talk to an agent?,could you help me talk to an agent?,9,29,-19.071232,5.884295
could you help me talking to an agent?,could you help me talking to an agent?,9,29,-18.82293,5.793151
could you help me to buy several of your item?,could you help me to buy several of your item?,6,31,-9.548485,52.022667
could you help me to buy some items?,could you help me to buy some items?,6,31,-7.1564755,51.539246
could you help me to buy some of your item?,could you help me to buy some of your item?,6,31,-10.782393,52.442657
could you help me to buy something?,could you help me to buy something?,6,31,-3.6116161,58.18895
could you help me to cancel an order?,could you help me to cancel an order?,5,51,15.168118,2.277959
could you help me to cancel my last order?,could you help me to cancel my last order?,5,51,11.584867,3.101307
could you help me to change my shipping address?,could you help me to change my shipping address?,4,74,-40.456593,57.228214
could you help me to change the order I have made?,could you help me to change the order i have made?,6,49,20.162195,26.875551
could you help me to change the shipping address?,could you help me to change the shipping address?,4,74,-41.30953,56.79077
could you help me to check how long refunds take?,could you help me to check how long refunds take?,0,8,51.58296,-72.03218
could you help me to check how long refunds usually take?,could you help me to check how long refunds usually take?,0,8,51.30729,-71.339005
could you help me to check how soon can I expect the item?,could you help me to check how soon can i expect the item?,7,35,76.35522,39.34843
could you help me to check my refund status?,could you help me to check my refund status?,0,13,29.159035,-61.645695
could you help me to check the cancellation fee?,could you help me to check the cancellation fee?,5,32,-17.073202,-52.559204
could you help me to check the cancellation fees?,could you help me to check the cancellation fees?,5,32,-15.835657,-52.179104
could you help me to check the invoice from 11 months ago?,could you help me to check the invoice from 11 months ago?,3,1,73.06067,7.8035464
could you help me to check the invoice from February?,could you help me to check the invoice from february?,3,1,74.56272,-2.5271149
could you help me to check the invoices?,could you help me to check the invoices?,3,1,63.62332,5.070221
could you help me to check the options for delivery?,could you help me to check the options for delivery?,7,30,9.113088,76.53969
could you help me to check the status of my refund?,could you help me to check the status of my refund?,0,13,29.089123,-61.780132
could you help me to check what delivery options I have?,could you help me to check what delivery options i have?,7,30,13.8813,77.23126
could you help me to check what payment methods you accept?,could you help me to check what payment methods you accept?,1,16,40.346077,-15.949512
could you help me to check your money back policy?,could you help me to check your money back policy?,0,2,-18.934828,-80.39999
could you help me to check your refund policy?,could you help me to check your refund policy?,0,12,12.273053,-57.395042
could you help me to contact an agent?,could you help me to contact an agent?,9,29,-23.035782,9.009699
could you help me to contact customer service?,could you help me to contact customer service?,9,41,-19.643934,-20.147205
could you help me to create a new online account?,could you help me to create a new online account?,2,-1,-45.325245,-4.896972
could you help me to create an account?,could you help me to create an account?,2,103,-42.302536,-0.31451866
could you help me to delete an account?,could you help me to delete an account?,2,78,-39.50204,-31.098934
could you help me to delete my account?,could you help me to delete my account?,2,78,-40.8334,-30.055826
could you help me to delete the account?,could you help me to delete the account?,2,78,-38.50716,-31.439987
could you help me to edit my account?,could you help me to edit my account?,2,99,-71.896385,8.296305
could you help me to edit my personal information?,could you help me to edit my personal information?,2,100,-89.41691,16.376621
could you help me to edit the information on my account?,could you help me to edit the information on my account?,2,99,-75.59006,8.514811
could you help me to file a complaint against your business?,could you help me to file a complaint against your business?,9,70,2.5609343,-42.300476
could you help me to file a complaint?,could you help me to file a complaint?,9,64,13.111172,-38.05091
could you help me to find the invoice from 2 months ago?,could you help me to find the invoice from 2 months ago?,3,1,74.31993,5.3012137
could you help me to get a refund of money?,could you help me to get a refund of money?,0,19,8.097138,-79.55051
could you help me to get a refund?,could you help me to get a refund?,0,19,6.9295053,-77.52155
could you help me to get my money back?,could you help me to get my money back?,0,20,-4.492513,-79.883514
could you help me to get refunds of money?,could you help me to get refunds of money?,0,19,6.9153304,-84.47975
could you help me to get refunds?,could you help me to get refunds?,0,19,7.063652,-88.383644
could you help me to get the invoice from March?,could you help me to get the invoice from march?,3,1,76.522125,-4.668335
could you help me to get the invoice from six months ago?,could you help me to get the invoice from six months ago?,3,1,73.96009,6.1692157
could you help me to get the invoices from July?,could you help me to get the invoices from july?,3,1,81.19861,-5.43922
could you help me to get the invoices from last month?,could you help me to get the invoices from last month?,3,1,81.25484,1.5196975
could you help me to get the invoices from my last purchase?,could you help me to get the invoices from my last purchase?,3,1,50.77857,4.4307365
could you help me to leave a review for your company?,could you help me to leave a review for your company?,9,6,13.08123,-11.055413
could you help me to leave a review?,could you help me to leave a review?,9,6,12.831864,-15.036518
could you help me to recover my password?,could you help me to recover my password?,2,65,-55.842426,-41.093147
could you help me to remove an item?,could you help me to remove an item?,6,28,-1.3534164,16.09053
could you help me to report a payment issue?,could you help me to report a payment issue?,1,21,61.53347,-30.895445
could you help me to report a registration issue?,could you help me to report a registration issue?,8,97,-49.196102,31.946404
could you help me to report an issue with payments?,could you help me to report an issue with payments?,1,21,65.83187,-32.952293
could you help me to report issues with payment?,could you help me to report issues with payment?,1,21,62.965416,-30.812672
could you help me to report payment issues?,could you help me to report payment issues?,1,21,62.923267,-30.811817
could you help me to report registration issues?,could you help me to report registration issues?,8,97,-47.988247,31.005312
could you help me to set a different shipping address up?,could you help me to set a different shipping address up?,4,92,-14.823229,71.245316
could you help me to set up a different shipping address?,could you help me to set up a different shipping address?,4,92,-14.558745,71.36084
could you help me to set up another shipping address?,could you help me to set up another shipping address?,4,90,-17.21789,70.38155
could you help me to solve a payment issue?,could you help me to solve a payment issue?,1,22,40.159344,-38.115803
could you help me to solve an issue with payment?,could you help me to solve an issue with payment?,1,22,40.202877,-38.24054
could you help me to solve payment issues?,could you help me to solve payment issues?,1,22,39.64349,-39.16789
could you help me to subscribe to your company newsletter?,could you help me to subscribe to your company newsletter?,9,61,-10.240906,25.877611
could you help me to switch to another account?,could you help me to switch to another account?,2,105,-60.632446,-9.939607
could you help me to switch user?,could you help me to switch user?,2,106,-70.45106,-16.34854
could you help me to take a quick look at the invoice?,could you help me to take a quick look at the invoice?,3,1,65.41613,-0.91627324
could you help me to talk to an agent?,could you help me to talk to an agent?,9,29,-19.083298,5.858263
could you help me to track an order?,could you help me to track an order?,6,44,24.283157,42.819973
could you help me to track my last order?,could you help me to track my last order?,6,44,30.669489,40.301983
could you help me to track my order?,could you help me to track my order?,6,44,25.287455,43.226143
could you help me to track the last order?,could you help me to track the last order?,6,44,32.741394,38.90493
could you help me to track the refund?,could you help me to track the refund?,0,9,31.538933,-74.76815
could you help me track my last order?,could you help me track my last order?,6,44,30.67862,40.216785
could you help me track my order?,could you help me track my order?,6,44,25.310148,43.181114
could you help me track the last order?,could you help me track the last order?,6,44,32.666035,38.827423
could you help me track the refund?,could you help me track the refund?,0,9,31.531645,-74.670784
could you help me tracking an order?,could you help me tracking an order?,6,44,23.694618,42.62882
could you help me tracking the last order?,could you help me tracking the last order?,6,44,32.517536,38.796074
could you help me tracking the refund?,could you help me tracking the refund?,0,9,31.485676,-74.449844
could you help me unsubscribe to the company newsletter?,could you help me unsubscribe to the company newsletter?,9,53,-19.08677,34.6541
could you help me use another account?,could you help me use another account?,2,104,-51.07699,-12.235032
could you help me using another account?,could you help me using another account?,2,104,-51.01926,-12.304611
could you send me the invoice from last month?,could you send me the invoice from last month?,3,1,71.39173,2.8261452
could you send me the invoice from my last purchase?,could you send me the invoice from my last purchase?,3,1,54.22132,-0.054625046
could you send me the invoices from August?,could you send me the invoices from august?,3,1,70.5746,3.7679353
could you send me the invoices from last month?,could you send me the invoices from last month?,3,1,70.90292,3.637829
could you send me the invoices from nine months ago?,could you send me the invoices from nine months ago?,3,1,70.37525,4.45801
could you send me the invoices from one purchases ago?,could you send me the invoices from one purchases ago?,3,1,49.43307,6.4207315
could you show me how long refunds usually take?,could you show me how long refunds usually take?,0,8,50.295944,-72.370735
could you show me how long the delivery takes?,could you show me how long the delivery takes?,7,48,48.476418,54.589634
could you show me how soon can I expect the delivery?,could you show me how soon can i expect the delivery?,7,47,52.60018,51.11454
could you show me in what cases can I ask for a refund?,could you show me in what cases can i ask for a refund?,0,4,-1.760362,-64.635826
could you show me in what cases can I ask for my money back?,could you show me in what cases can i ask for my money back?,0,5,-5.098547,-69.31465
could you show me in what cases can I ask for refunds?,could you show me in what cases can i ask for refunds?,0,4,-1.1491226,-62.969765
could you show me in what cases can I ask to be refunded?,could you show me in what cases can i ask to be refunded?,0,4,-1.7976717,-64.73906
could you show me my order ETA?,could you show me my order eta?,6,40,67.23801,23.288822
could you show me my refund status?,could you show me my refund status?,0,13,28.911133,-65.35317
could you show me the cancellation fees?,could you show me the cancellation fees?,5,32,-15.185181,-54.579506
could you show me the options for delivery?,could you show me the options for delivery?,7,30,11.396685,84.57275
could you show me the status of the refund?,could you show me the status of the refund?,0,13,29.781239,-64.871864
could you show me what delivery options I can choose?,could you show me what delivery options i can choose?,7,30,12.616058,82.822365
could you show me what delivery options you offer?,could you show me what delivery options you offer?,7,30,13.191544,84.12391
could you show me what hours customer service available is?,could you show me what hours customer service available is?,7,17,44.179943,23.496426
could you show me what hours I can contact customer service?,could you show me what hours i can contact customer service?,7,17,39.63488,24.015034
could you show me what options for delivery I have?,could you show me what options for delivery i have?,7,30,11.631781,83.34899
could you show me what payment methods are available?,could you show me what payment methods are available?,1,16,44.26914,-22.909355
could you show me what payment methods you accept?,could you show me what payment methods you accept?,1,16,38.796047,-16.524437
could you show me when my delivery is going to arrive?,could you show me when my delivery is going to arrive?,7,-1,58.356834,53.57577
could you show me when will my item arrive?,could you show me when will my item arrive?,7,39,67.34926,41.115406
could you show me your allowed payment methods?,could you show me your allowed payment methods?,1,16,31.037413,-24.556067
could you show me your refund policy?,could you show me your refund policy?,0,12,11.269411,-58.9888
could you tell me about a forgotten password?,could you tell me about a forgotten password?,2,68,-55.74191,-53.117046
could you tell me about a password recovery?,could you tell me about a password recovery?,2,66,-65.165634,-47.767395
could you tell me about a user account deletion?,could you tell me about a user account deletion?,2,79,-33.878475,-40.618088
could you tell me about changing my shipping address?,could you tell me about changing my shipping address?,4,74,-43.875107,57.9248
could you tell me about delivery periods?,could you tell me about delivery periods?,7,36,38.02313,71.18756
could you tell me about forgotten passwords?,could you tell me about forgotten passwords?,2,68,-55.120476,-56.836727
could you tell me about the company newsletter subscription?,could you tell me about the company newsletter subscription?,9,62,-9.134082,30.020746
could you tell me about the delivery options?,could you tell me about the delivery options?,7,30,7.6145635,86.21828
could you tell me about the delivery period?,could you tell me about the delivery period?,7,36,38.92653,70.93004
could you tell me about the delivery periods?,could you tell me about the delivery periods?,7,36,38.20126,70.75301
could you tell me more about a forgotten password?,could you tell me more about a forgotten password?,2,68,-55.641876,-53.204845
could you tell me more about a password recovery?,could you tell me more about a password recovery?,2,66,-65.21253,-47.697983
could you tell me more about a user account deletion?,could you tell me more about a user account deletion?,2,79,-33.89799,-40.62183
could you tell me more about changing my shipping address?,could you tell me more about changing my shipping address?,4,74,-43.928684,57.85618
could you tell me more about changing the shipping address?,could you tell me more about changing the shipping address?,4,74,-43.58262,56.903095
could you tell me more about delivery periods?,could you tell me more about delivery periods?,7,36,37.92462,71.08726
could you tell me more about forgotten passwords?,could you tell me more about forgotten passwords?,2,68,-55.11429,-56.83953
could you tell me more about order cancellations?,could you tell me more about order cancellations?,5,51,24.581839,-0.04488461
could you tell me more about the delivery options?,could you tell me more about the delivery options?,7,30,7.545368,86.20185
could you tell me more about the delivery periods?,could you tell me more about the delivery periods?,7,36,38.076954,70.68061
could you tell me more about the options for delivery?,could you tell me more about the options for delivery?,7,30,7.9854817,86.462524
could you tell me more about user account deletions?,could you tell me more about user account deletions?,2,79,-33.574245,-41.32888
could you tell me what hours customer service available is?,could you tell me what hours customer service available is?,7,17,43.964413,24.017897
could you tell me what hours I can contact customer service?,could you tell me what hours i can contact customer service?,7,17,39.17253,24.105068
could you tell me what payment methods are available?,could you tell me what payment methods are available?,1,16,44.825336,-23.217571
could you tell me what payment methods you accept?,could you tell me what payment methods you accept?,1,16,38.393326,-16.122284
could you tell me your allowed payment methods?,could you tell me your allowed payment methods?,1,16,31.212065,-24.628014
creaitng premium account for fiancee,creaitng premium account for fiancee,2,-1,-39.80245,-5.6250963
create account,create account,2,103,-43.16063,0.840831
creating account,creating account,2,103,-43.114082,0.7644244
creating account for daughter,creating account for daughter,2,-1,-43.916435,-12.190963
creating different online account,creating different online account,2,-1,-46.18177,-6.2863803
creating differentuser account,creating differentuser account,2,-1,-55.581867,-1.4635524
customer service,customer service,9,-1,-18.232622,-23.872988
customer service e-mail,customer service e-mail,9,-1,-18.63598,-24.850382
customer service mail,customer service mail,9,-1,-18.622503,-24.815475
customer service number,customer service number,9,41,-21.538115,-21.583252
customer service working hours,customer service working hours,7,17,43.045277,25.081717
delete account,delete account,2,78,-38.980274,-29.288704
deleting account,deleting account,2,78,-38.97519,-29.278442
delivery period,delivery period,7,36,39.905384,69.24324
do you accept card?,do you accept card?,6,-1,36.586697,-14.846405
do you accept Google Pay?,do you accept google pay?,1,-1,35.982452,-14.968206
do you have a company newsletter?,do you have a company newsletter?,9,-1,-9.822635,26.943975
do you have a mail to contact customer service?,do you have a mail to contact customer service?,9,-1,-20.032125,-23.031796
do you have a number to contact customer service?,do you have a number to contact customer service?,9,41,-20.09458,-22.29977
do you have a section to submit a review for your company?,do you have a section to submit a review for your company?,9,-1,5.916303,-10.827193
do you have a section to submit a review?,do you have a section to submit a review?,9,-1,5.905262,-10.934315
do you have a section to submit some feedback for a service?,do you have a section to submit some feedback for a service?,9,-1,-0.7324847,-7.863534
do you have a section to submit some feedback?,do you have a section to submit some feedback?,9,-1,-0.8596598,-4.9424095
do you have an e-mail address to contact customer support ?,do you have an e-mail address to contact customer support ?,9,-1,-20.072922,-23.093422
do you have an e-mail to submit a review for your company?,do you have an e-mail to submit a review for your company?,9,-1,4.9658923,-10.87357
do you have an e-mail to submit some feedback?,do you have an e-mail to submit some feedback?,9,-1,-0.039326992,-5.7756763
edit account,edit account,2,-1,-69.02474,8.324769
edit information on account,edit information on account,2,-1,-75.505974,12.333334
editing info on profile,editing info on profile,2,-1,-81.16836,3.598598
editing information on account,editing information on account,2,-1,-75.51357,12.338088
editing personal information,editing personal information,2,100,-88.156876,17.977514
error editing shipping address,error editing shipping address,4,-1,-35.48526,55.705853
file complaint,file complaint,9,-1,13.699747,-33.641125
file complaint against your business,file complaint against your business,9,70,2.1435118,-43.30661
filing complaint,filing complaint,9,-1,13.77495,-33.728947
filing complaint against your business,filing complaint against your business,9,70,1.7459737,-43.317524
filing consumer reclamation against your company,filing consumer reclamation against your company,9,26,-8.660688,-33.240486
filing customer claim against ur company,filing customer claim against ur company,9,58,-0.67979735,-33.175014
find information about a forgotten password,find information about a forgotten password,2,68,-58.13697,-54.612938
find information about a shipping address change,find information about a shipping address change,4,-1,-49.860817,55.8788
find information about a user account deletion,find information about a user account deletion,2,79,-29.141306,-41.182884
find information about cancelling an order,find information about cancelling an order,5,51,26.843187,1.741553
find information about forgotten passwords,find information about forgotten passwords,2,68,-58.079838,-55.853527
find information about order cancelations,find information about order cancelations,5,51,26.978853,0.56625915
find information about signing up to your company newsletter,find information about signing up to your company newsletter,9,-1,-12.619262,21.683937
find information about subscribing to your newslewtter,find information about subscribing to your newslewtter,9,-1,-7.726662,27.427393
find information about the cancellation of my user account,find information about the cancellation of my user account,2,-1,-29.405283,-31.765265
find information about the company newsletter subscription,find information about the company newsletter subscription,9,-1,-9.688893,30.331535
find information about the delivery period,find information about the delivery period,7,36,34.10988,64.380615
find information about the delivery periods,find information about the delivery periods,7,36,34.20376,64.535385
find information about user account deletions,find information about user account deletions,2,79,-29.379915,-41.347115
find the invoices from last month,find the invoices from last month,3,1,83.752464,3.1993904
forgotten password,forgotten password,2,-1,-54.19485,-53.70565
forgotten passwords,forgotten passwords,2,68,-54.074757,-55.628914
get invoice,get invoice,3,1,64.86014,-7.4824657
get invoice from 3 purchases ago,get invoice from 3 purchases ago,3,1,46.34864,1.9254782
get invoice from four months ago,get invoice from four months ago,3,1,76.75574,4.6008363
get invoice from last month,get invoice from last month,3,1,78.9138,1.6791987
get invoice from last purchase,get invoice from last purchase,3,1,49.78907,0.07688816
get invoice from September,get invoice from september,3,1,77.7349,-6.7104177
get invoices,get invoices,3,1,61.785553,9.259132
get invoices from April,get invoices from april,3,1,83.487175,-5.0716233
get invoices from last month,get invoices from last month,3,1,83.9511,3.1586506
get invoices from last purchase,get invoices from last purchase,3,1,49.472324,0.91433907
get invoices from nine months ago,get invoices from nine months ago,3,1,77.4716,10.119421
get invoices from one purchases ago,get invoices from one purchases ago,3,1,47.675472,2.455976
get money back,get money back,0,-1,-3.4627624,-80.21312
get refund,get refund,0,-1,8.1246,-76.44198
get refund of money,get refund of money,0,19,9.0144005,-80.872856
getting invoice,getting invoice,3,1,64.879196,-7.478126
getting invoice from eleven months ago,getting invoice from eleven months ago,3,1,74.06407,8.886972
getting invoice from last purchase,getting invoice from last purchase,3,1,49.84674,0.07700091
getting invoice from March,getting invoice from march,3,1,77.014725,-4.7510157
getting invoices,getting invoices,3,1,61.79294,9.236387
getting invoices from 2 purchases ago,getting invoices from 2 purchases ago,3,1,47.62931,2.5035448
getting invoices from July,getting invoices from july,3,1,81.17509,-5.648912
getting invoices from last month,getting invoices from last month,3,1,83.97029,3.0701246
getting invoices from last purchase,getting invoices from last purchase,3,1,49.491806,0.98117965
getting refund,getting refund,0,-1,8.067733,-76.4825
give me information about a delivery address change,give me information about a delivery address change,4,-1,-49.58776,53.856804
give me information about a forgotten password,give me information about a forgotten password,2,68,-56.514183,-53.517956
give me information about a password recovery,give me information about a password recovery,2,66,-64.40384,-47.7323
give me information about a shipping address change,give me information about a shipping address change,4,75,-48.958405,54.584057
give me information about a user account deletion,give me information about a user account deletion,2,79,-32.684875,-40.20974
give me information about cancelling orders,give me information about cancelling orders,5,51,25.022057,1.9879687
give me information about changing my shipping address,give me information about changing my shipping address,4,74,-45.11969,57.60349
give me information about changing the shipping address,give me information about changing the shipping address,4,74,-44.717148,56.364967
give me information about editing the delivery address,give me information about editing the delivery address,4,-1,-32.18917,51.25872
give me information about forgotten passwords,give me information about forgotten passwords,2,68,-56.125195,-56.56126
give me information about the cancellation of an account,give me information about the cancellation of an account,5,-1,-29.731752,-31.282429
give me information about the PIN code recovery,give me information about the pin code recovery,2,54,-67.293526,-34.029205
give me information about the termination of a user account,give me information about the termination of a user account,2,-1,-31.596964,-34.90272
give me information about user account deletions,give me information about user account deletions,2,79,-32.46463,-41.367115
give me infornation about the lost PIN,give me infornation about the lost pin,2,-1,-66.92993,-32.578064
have a question about my forgotten pass,have a question about my forgotten pass,2,-1,-53.66521,-47.737587
have problems with the termination of a secondary account,have problems with the termination of a secondary account,2,-1,-32.046455,-32.300632
help adding an item,help adding an item,6,60,4.6378756,34.00869
help buying an item,help buying an item,6,31,-4.5012546,56.721092
help buying several items,help buying several items,6,31,-6.173193,52.16079
help buying something,help buying something,6,31,-2.9546535,57.087067
help calling customer service,help calling customer service,9,41,-17.121775,-19.203367
help canceling an order,help canceling an order,5,51,16.414194,4.410308
help canceling my last order,help canceling my last order,5,51,10.227723,5.7682
help canceling the company newsletter subscription,help canceling the company newsletter subscription,5,57,-29.23782,29.963367
