Queries,Word_Count,Sentiment,cleaned,Cluster_ID
help me to set up a new shipping address,9,Positive,help me to set up a new shipping address,9
help me to solve a payment issue,7,Neutral,help me to solve a payment issue,3
help me to solve an issue with payments,8,Neutral,help me to solve an issue with payments,3
help me to solve payment issues,6,Neutral,help me to solve payment issues,3
help me to speak with someone,6,Neutral,help me to speak with someone,3
help me to submit some feedback,6,Neutral,help me to submit some feedback,0
help me to submit some feedback for your company,9,Neutral,help me to submit some feedback for your company,0
help me to submit some feedback for your services,9,Neutral,help me to submit some feedback for your services,0
help me to subscribe to the company newsletter,8,Neutral,help me to subscribe to the company newsletter,0
help me to subscribe to your company newsletter,8,Neutral,help me to subscribe to your company newsletter,0
help me to switch to another account,7,Neutral,help me to switch to another account,1
help me to switch user,5,Neutral,help me to switch user,1
help me to talk to an agent,7,Neutral,help me to talk to an agent,3
help me to talk with an assistant,7,Neutral,help me to talk with an assistant,3
help me to track an order,6,Neutral,help me to track an order,4
help me to track my last order,7,Neutral,help me to track my last order,4
help me to track my order,6,Neutral,help me to track my order,4
help me to track the last order,7,Neutral,help me to track the last order,4
help me to track the refund,6,Neutral,help me to track the refund,8
help me to unsubscribe to ur company newsletter,8,Neutral,help me to unsubscribe to ur company newsletter,0
help me to unsubscribe to your corporate newsletter,8,Neutral,help me to unsubscribe to your corporate newsletter,0
help me to use another account,6,Neutral,help me to use another account,1
help me to use another bloody account,7,Negative,help me to use another bloody account,1
help me track my last order,6,Neutral,help me track my last order,4
help me track my order,5,Neutral,help me track my order,4
help me track the refund,5,Neutral,help me track the refund,8
help me tracking an order,5,Neutral,help me tracking an order,4
help me tracking the refund,5,Neutral,help me tracking the refund,8
help me unsubscribe to your newsletter,6,Neutral,help me unsubscribe to your newsletter,0
help me unsubscribing to your company newsletter,7,Neutral,help me unsubscribing to your company newsletter,0
help me use a different profile,6,Neutral,help me use a different profile,3
help me use another account,5,Neutral,help me use another account,1
help me using a different profile,6,Neutral,help me using a different profile,3
help me using another account,5,Neutral,help me using another account,1
help me using my new profile,6,Positive,help me using my new profile,3
help opening a different account,5,Neutral,help opening a different account,1
help opening a new user acocunt for my daughter,9,Positive,help opening a new user acocunt for my daughter,3
help receiving a rebate,4,Neutral,help receiving a rebate,3
help recovering my password,4,Neutral,help recovering my password,3
help regarding my registration,4,Neutral,help regarding my registration,3
help regarding our registration,4,Neutral,help regarding our registration,3
help regarding payment,3,Neutral,help regarding payment,3
help regarding payments,3,Neutral,help regarding payments,3
help regarding the registration,4,Neutral,help regarding the registration,3
help regarding the sign-up,4,Neutral,help regarding the signup,3
help registering,2,Neutral,help registering,3
help reporting a payment issue,5,Neutral,help reporting a payment issue,3
help reporting a registration issue,5,Neutral,help reporting a registration issue,3
help reporting an issue with payment,6,Neutral,help reporting an issue with payment,3
help reporting issues with payments,5,Neutral,help reporting issues with payments,3
help reporting payment issues,4,Neutral,help reporting payment issues,3
help seeing the cancellation penalties,5,Neutral,help seeing the cancellation penalties,3
help setting a different shipping address up,7,Neutral,help setting a different shipping address up,2
help setting a new shipping address up,7,Positive,help setting a new shipping address up,2
help setting another shipping address up,6,Neutral,help setting another shipping address up,2
help setting up a different shipping address,7,Neutral,help setting up a different shipping address,2
help setting up a new shipping address,7,Positive,help setting up a new shipping address,2
help setting up another shipping address,6,Neutral,help setting up another shipping address,2
help signing up to ur company newsletter,7,Neutral,help signing up to ur company newsletter,0
help solving an issue with payment,6,Neutral,help solving an issue with payment,3
help solving an issue with payments,6,Neutral,help solving an issue with payments,3
help solving issues with payments,5,Neutral,help solving issues with payments,3
help submitting some feedback,4,Neutral,help submitting some feedback,3
help submitting some feedback for a service,7,Neutral,help submitting some feedback for a service,3
help submitting some feedback for your company,7,Neutral,help submitting some feedback for your company,0
help subscribing to your company newsletter,6,Neutral,help subscribing to your company newsletter,0
help switching to another account,5,Neutral,help switching to another account,1
help switching user,3,Neutral,help switching user,1
help taking a quick look at the invoice from last month,11,Positive,help taking a quick look at the invoice from last month,3
help taking a quick look at the invoice from October,10,Positive,help taking a quick look at the invoice from october,3
help talking to an agent,5,Neutral,help talking to an agent,3
help to add an item,5,Neutral,help to add an item,6
help to add several items to an order,8,Neutral,help to add several items to an order,4
help to buy a few of your item,8,Negative,help to buy a few of your item,6
help to buy an item,5,Neutral,help to buy an item,6
help to buy several items,5,Neutral,help to buy several items,6
help to buy several of your item,7,Neutral,help to buy several of your item,6
help to buy some items,5,Neutral,help to buy some items,6
help to buy something,4,Neutral,help to buy something,6
help to cancel an order I have made,8,Neutral,help to cancel an order i have made,4
help to cancel an order I made,7,Neutral,help to cancel an order i made,4
help to cancel my order,5,Neutral,help to cancel my order,4
help to cancel the company newsletter subscription,7,Neutral,help to cancel the company newsletter subscription,0
help to cancel the order I made,7,Neutral,help to cancel the order i made,4
help to cancel the subscription to your company newsletter,9,Neutral,help to cancel the subscription to your company newsletter,0
help to change an item of an order,8,Neutral,help to change an item of an order,4
help to change an order I have made,8,Neutral,help to change an order i have made,4
help to change my shipping address,6,Neutral,help to change my shipping address,2
help to change the last order I have made,9,Neutral,help to change the last order i have made,4
help to change the last order I made,8,Neutral,help to change the last order i made,4
help to change the order I made,7,Neutral,help to change the order i made,4
help to change the shipping address,6,Neutral,help to change the shipping address,2
help to check at what time customer service available is,10,Positive,help to check at what time customer service available is,3
help to check how long refunds take,7,Neutral,help to check how long refunds take,3
help to check how long refunds usually take,8,Negative,help to check how long refunds usually take,3
help to check how soon can I expect the delivery,10,Neutral,help to check how soon can i expect the delivery,3
help to check if there is anything new on my refund,11,Positive,help to check if there is anything new on my refund,8
help to check in what cases can I ask for a refund,12,Neutral,help to check in what cases can i ask for a refund,8
help to check in what cases can I ask for my money back,13,Neutral,help to check in what cases can i ask for my money back,8
help to check in what cases can I ask for refunds,11,Neutral,help to check in what cases can i ask for refunds,3
help to check in what cases can I ask to be refunded,12,Neutral,help to check in what cases can i ask to be refunded,3
help to check my order ETA,6,Neutral,help to check my order eta,4
help to check my refund status,6,Neutral,help to check my refund status,8
help to check the cancellation fee,6,Neutral,help to check the cancellation fee,3
help to check the cancellation fees,6,Neutral,help to check the cancellation fees,3
help to check the invoices from 8 months ago,9,Neutral,help to check the invoices from 8 months ago,7
help to check the refund status,6,Neutral,help to check the refund status,8
help to check the status of my order,8,Neutral,help to check the status of my order,4
help to check under what circumstances can I ask for refunds,11,Neutral,help to check under what circumstances can i ask for refunds,3
help to check what delivery options I have,8,Neutral,help to check what delivery options i have,3
help to check what delivery options you offer,8,Neutral,help to check what delivery options you offer,3
help to check what hours customer service available is,9,Positive,help to check what hours customer service available is,3
help to check what hours I can contact customer service,10,Neutral,help to check what hours i can contact customer service,3
help to check what options for delivery are available,9,Positive,help to check what options for delivery are available,3
help to check what options for delivery I can choose,10,Neutral,help to check what options for delivery i can choose,3
help to check what options for delivery you offer,9,Neutral,help to check what options for delivery you offer,3
help to check what payment methods you accept,8,Neutral,help to check what payment methods you accept,3
help to check your allowed payment methods,7,Neutral,help to check your allowed payment methods,3
help to check your money back policy,7,Neutral,help to check your money back policy,8
help to check your refund policy,6,Neutral,help to check your refund policy,8
help to contact customer service,5,Neutral,help to contact customer service,3
help to create a different user account for my dad,10,Neutral,help to create a different user account for my dad,1
help to create an account,5,Neutral,help to create an account,1
help to create an online account for my mom,9,Neutral,help to create an online account for my mom,1
help to create another online account,6,Neutral,help to create another online account,1
help to delete the account,5,Neutral,help to delete the account,1
help to edit my account,5,Neutral,help to edit my account,1
help to edit some of the details on my profile,10,Neutral,help to edit some of the details on my profile,3
help to edit the data included on my user profile,10,Neutral,help to edit the data included on my user profile,1
help to edit the information on my account,8,Neutral,help to edit the information on my account,1
help to file a complaint,5,Negative,help to file a complaint,3
help to file a complaint against your business,8,Negative,help to file a complaint against your business,3
help to file a customer claim against ur business,9,Neutral,help to file a customer claim against ur business,3
help to file an customer claim against your organization,9,Neutral,help to file an customer claim against your organization,3
help to find my invoices,5,Neutral,help to find my invoices,7
help to get a refund,5,Neutral,help to get a refund,8
help to get a refund of money,7,Neutral,help to get a refund of money,8
help to get my money back,6,Neutral,help to get my money back,8
help to get refunds,4,Neutral,help to get refunds,3
help to get refunds of money,6,Neutral,help to get refunds of money,8
help to get the invoice from September,7,Neutral,help to get the invoice from september,3
help to get the invoice from seven purchases ago,9,Neutral,help to get the invoice from seven purchases ago,7
help to get the invoices from February,7,Neutral,help to get the invoices from february,7
help to leave a review for your services,8,Neutral,help to leave a review for your services,3
help to list your payment methods,6,Neutral,help to list your payment methods,3
help to lodge a customer claim,6,Neutral,help to lodge a customer claim,3
help to lodge a customer complaint,6,Negative,help to lodge a customer complaint,3
help to make a consumer complaint against your business,9,Negative,help to make a consumer complaint against your business,3
help to modify the personal informatoin,6,Neutral,help to modify the personal informatoin,3
help to open another user account for my mum,9,Neutral,help to open another user account for my mum,1
help to receive ur newsletter,5,Neutral,help to receive ur newsletter,0
help to recover my password,5,Neutral,help to recover my password,3
help to register,3,Neutral,help to register,3
help to remove some items from an order,8,Neutral,help to remove some items from an order,4
help to report a payment issue,6,Neutral,help to report a payment issue,3
help to report a registration issue,6,Neutral,help to report a registration issue,3
help to report an issue with payments,7,Neutral,help to report an issue with payments,3
help to report issues with payment,6,Neutral,help to report issues with payment,3
help to report payment issues,5,Neutral,help to report payment issues,3
help to report registration problems,5,Neutral,help to report registration problems,3
help to reset the pwd of my account,8,Neutral,help to reset the pwd of my account,1
help to retrieve my online account pwd,7,Neutral,help to retrieve my online account pwd,1
help to see the termination fees,6,Neutral,help to see the termination fees,3
help to see the termination penalties,6,Neutral,help to see the termination penalties,3
help to see what hours I can reach customer service,10,Neutral,help to see what hours i can reach customer service,3
help to set a different shipping address up,8,Neutral,help to set a different shipping address up,9
help to set up a different shipping address,8,Neutral,help to set up a different shipping address,9
help to set up another shipping address,7,Neutral,help to set up another shipping address,9
help to solve an issue with payment,7,Neutral,help to solve an issue with payment,3
help to solve an issue with payments,7,Neutral,help to solve an issue with payments,3
help to solve issues with payment,6,Neutral,help to solve issues with payment,3
help to solve issues with payments,6,Neutral,help to solve issues with payments,3
help to submit some feedback for your services,8,Neutral,help to submit some feedback for your services,0
help to subscribe to your company newsletter,7,Neutral,help to subscribe to your company newsletter,0
help to switch to another account,6,Neutral,help to switch to another account,1
help to talk to an agent,6,Neutral,help to talk to an agent,3
help to track an order,5,Neutral,help to track an order,4
help to track my order,5,Neutral,help to track my order,4
help to track the last order,6,Neutral,help to track the last order,4
help to unsubscribe to your newsletter,6,Neutral,help to unsubscribe to your newsletter,0
help to use an new user profile,7,Positive,help to use an new user profile,1
help to use another account,5,Neutral,help to use another account,1
help tracking an order,4,Neutral,help tracking an order,4
help tracking my last order,5,Neutral,help tracking my last order,4
help tracking the last order,5,Neutral,help tracking the last order,4
help trying to change my shipping address,7,Neutral,help trying to change my shipping address,2
help updating the data on my user profile,8,Neutral,help updating the data on my user profile,3
help using another account,4,Neutral,help using another account,1
help using another user account,5,Neutral,help using another user account,1
help with adding an item to an order,8,Neutral,help with adding an item to an order,4
help with adding some items,5,Neutral,help with adding some items,3
help with canceling an order I made,7,Neutral,help with canceling an order i made,4
help with canceling the order I have made,8,Neutral,help with canceling the order i have made,4
help with canceling the order I made,7,Neutral,help with canceling the order i made,4
help with cancelling my last order,6,Neutral,help with cancelling my last order,4
help with cancelling the last order I have made,9,Neutral,help with cancelling the last order i have made,4
help with cancelling the order I have made,8,Neutral,help with cancelling the order i have made,4
help with changing my order,5,Neutral,help with changing my order,4
help with changing something of an order,7,Neutral,help with changing something of an order,4
help with changing the order I made,7,Neutral,help with changing the order i made,4
help with my registration,4,Neutral,help with my registration,3
help with payment,3,Neutral,help with payment,3
help with payments,3,Neutral,help with payments,3
help with registration,3,Neutral,help with registration,3
help with the registration,4,Neutral,help with the registration,3
helpretrieving my account PIN,4,Neutral,helpretrieving my account pin,1
hepp me to make a claim against ur organization,9,Neutral,hepp me to make a claim against ur organization,3
hewlp me use a different user account,7,Neutral,hewlp me use a different user account,1
how can I add an item to an order?,9,Neutral,how can i add an item to an order,4
how can I add something?,5,Neutral,how can i add something,3
how can I buy a few of your item?,9,Negative,how can i buy a few of your item,6
how can I buy an item?,6,Neutral,how can i buy an item,6
how can I buy some items?,6,Neutral,how can i buy some items,6
how can I buy something?,5,Neutral,how can i buy something,6
how can I cancel an order I have made?,9,Neutral,how can i cancel an order i have made,4
how can I cancel an order I made?,8,Neutral,how can i cancel an order i made,4
how can I cancel an order?,6,Neutral,how can i cancel an order,4
how can I cancel the company newsletter subscription?,8,Neutral,how can i cancel the company newsletter subscription,0
how can I change my shipping address?,7,Neutral,how can i change my shipping address,2
how can I change several items of an order?,9,Neutral,how can i change several items of an order,4
how can I change something of an order?,8,Neutral,how can i change something of an order,4
how can I change the shipping address?,7,Neutral,how can i change the shipping address,2
how can i change to another account,7,Neutral,how can i change to another account,1
how can I check at what time customer service available is?,11,Positive,how can i check at what time customer service available is,3
how can I check at what time I can contact customer service?,12,Neutral,how can i check at what time i can contact customer service,3
how can i check at what time i can reach customer service,12,Neutral,how can i check at what time i can reach customer service,3
how can I check how long the delivery takes?,9,Neutral,how can i check how long the delivery takes,3
how can I check how soon can I expect the delivery?,11,Neutral,how can i check how soon can i expect the delivery,3
how can I check if there is any updates on my refund?,12,Neutral,how can i check if there is any updates on my refund,8
how can I check if there is anything new on my refund?,12,Positive,how can i check if there is anything new on my refund,8
how can I check if there is anything wrong with my refund?,12,Negative,how can i check if there is anything wrong with my refund,8
how can I check my order ETA?,7,Neutral,how can i check my order eta,4
how can I check the allowed payment options?,8,Neutral,how can i check the allowed payment options,3
how can I check the cancellation fee?,7,Neutral,how can i check the cancellation fee,3
how can I check the invoice from ten purchases ago?,10,Neutral,how can i check the invoice from ten purchases ago,7
how can I check the status of the refund?,9,Neutral,how can i check the status of the refund,8
how can I check the termniation fee?,7,Neutral,how can i check the termniation fee,3
how can I check what delivery options are available?,9,Positive,how can i check what delivery options are available,3
how can I check what delivery options I have?,9,Neutral,how can i check what delivery options i have,3
how can I check what delivery options you offer?,9,Neutral,how can i check what delivery options you offer,3
how can I check what hours I can contact customer service?,11,Neutral,how can i check what hours i can contact customer service,3
how can I check what payment methods are available?,9,Positive,how can i check what payment methods are available,3
how can I check what payment methods you accept?,9,Neutral,how can i check what payment methods you accept,3
how can I check when will my item arrive?,9,Neutral,how can i check when will my item arrive,6
how can I check your allowed payment methods?,8,Neutral,how can i check your allowed payment methods,3
how can I check your money back policy?,8,Neutral,how can i check your money back policy,8
how can I check your refund policy?,7,Neutral,how can i check your refund policy,8
how can i contact someone,5,Neutral,how can i contact someone,3
how can I delete an account?,6,Neutral,how can i delete an account,1
how can I delete my account?,6,Neutral,how can i delete my account,1
how can I edit my account?,6,Neutral,how can i edit my account,1
how can I edit the information on my account?,9,Neutral,how can i edit the information on my account,1
how can I file a complaint against your business?,9,Negative,how can i file a complaint against your business,3
how can I file a complaint?,6,Negative,how can i file a complaint,3
how can I file a consumer claim against your business?,10,Neutral,how can i file a consumer claim against your business,3
how can I file a consumer complaint?,7,Negative,how can i file a consumer complaint,3
how can I find information about a shipping address change?,10,Neutral,how can i find information about a shipping address change,2
how can I find information about a user account deletion?,10,Neutral,how can i find information about a user account deletion,1
how can I find information about canceling orders?,8,Neutral,how can i find information about canceling orders,3
how can I find information about cancelling orders?,8,Neutral,how can i find information about cancelling orders,3
how can I find information about delivery periods?,8,Neutral,how can i find information about delivery periods,3
how can I find information about editing the damn address ?,11,Neutral,how can i find information about editing the damn address ,3
how can I find information about forgotten passwords?,8,Neutral,how can i find information about forgotten passwords,3
how can I find information about my access key recovery?,10,Neutral,how can i find information about my access key recovery,3
how can I find information about my PIN code retrieval?,10,Neutral,how can i find information about my pin code retrieval,3
how can I find information about the delivery period?,9,Neutral,how can i find information about the delivery period,3
how can I find information about user account deletions?,9,Neutral,how can i find information about user account deletions,1
how can I find my invoice?,6,Neutral,how can i find my invoice,3
how can I get a refund?,6,Neutral,how can i get a refund,8
how can i get in touch with customer assistance,9,Neutral,how can i get in touch with customer assistance,3
how can I get information about a forgotten password?,9,Neutral,how can i get information about a forgotten password,3
how can I get information about a password recovery?,9,Neutral,how can i get information about a password recovery,3
how can I get information about a shipping address change?,10,Neutral,how can i get information about a shipping address change,2
how can I get information about a user account deletion?,10,Neutral,how can i get information about a user account deletion,1
how can I get information about changing orders?,8,Neutral,how can i get information about changing orders,3
how can I get information about delivery period?,8,Neutral,how can i get information about delivery period,3
how can I get information about forgotten passwords?,8,Neutral,how can i get information about forgotten passwords,3
how can I get information about my PIN code retrieval?,10,Neutral,how can i get information about my pin code retrieval,3
how can I get information about the delivery period?,9,Neutral,how can i get information about the delivery period,3
how can I get information about the delivery periods?,9,Neutral,how can i get information about the delivery periods,3
how can i get information about the password reset,9,Neutral,how can i get information about the password reset,3
how can I get information about user account deletions?,9,Neutral,how can i get information about user account deletions,1
how can i get information abuot my lost pin,9,Neutral,how can i get information abuot my lost pin,3
how can I get my invoice?,6,Neutral,how can i get my invoice,3
how can I get my invoices?,6,Neutral,how can i get my invoices,7
how can I get my money back?,7,Neutral,how can i get my money back,8
how can I get refunds of money?,7,Neutral,how can i get refunds of money,8
how can I get refunds?,5,Neutral,how can i get refunds,3
how can I get the invoice from August?,8,Neutral,how can i get the invoice from august,3
how can I get the invoice from last month?,9,Neutral,how can i get the invoice from last month,3
how can I get the invoices?,6,Neutral,how can i get the invoices,7
how can I leave a review for a service?,9,Neutral,how can i leave a review for a service,3
how can I leave a review for your services?,9,Neutral,how can i leave a review for your services,3
how can I lodge a complaint?,6,Negative,how can i lodge a complaint,3
how can I make a complaint?,6,Negative,how can i make a complaint,3
how can I make a purchase?,6,Neutral,how can i make a purchase,3
how can I make an order?,6,Neutral,how can i make an order,4
how can I recover my password?,6,Neutral,how can i recover my password,3
how can I register?,4,Neutral,how can i register,3
how can I remove several items from an order?,9,Neutral,how can i remove several items from an order,4
how can I remove some items from an order?,9,Neutral,how can i remove some items from an order,4
how can I report a payment issue?,7,Neutral,how can i report a payment issue,3
how can I report a registration issue?,7,Neutral,how can i report a registration issue,3
how can I report issues with payments?,7,Neutral,how can i report issues with payments,3
how can I report registration issues?,6,Neutral,how can i report registration issues,3
how can i reset my online account access key,9,Neutral,how can i reset my online account access key,1
how can I see the early termination penalties?,8,Neutral,how can i see the early termination penalties,3
how can I see your payment methods?,7,Neutral,how can i see your payment methods,3
how can I set a different shipping address up?,9,Neutral,how can i set a different shipping address up,9
how can I set a new shipping address up?,9,Positive,how can i set a new shipping address up,9
how can I set up a new shipping address?,9,Positive,how can i set up a new shipping address,9
how can I set up another shipping address?,8,Neutral,how can i set up another shipping address,9
how can I sign up?,5,Neutral,how can i sign up,3
how can I speak to a human agent?,8,Neutral,how can i speak to a human agent,3
how can I speak to a person?,7,Neutral,how can i speak to a person,3
how can i speak to customer service,7,Neutral,how can i speak to customer service,3
how can i speak with an assistant,7,Neutral,how can i speak with an assistant,3
how can I submit some feedback for a service?,9,Neutral,how can i submit some feedback for a service,0
how can I submit some feedback for your company?,9,Neutral,how can i submit some feedback for your company,0
how can I submit some feedback for your services?,9,Neutral,how can i submit some feedback for your services,0
how can I subscribe to the corporate newsletter?,8,Neutral,how can i subscribe to the corporate newsletter,0
how can I subscribe to your company newsletter?,8,Neutral,how can i subscribe to your company newsletter,0
how can I switch to another account?,7,Neutral,how can i switch to another account,1
how can I take a quick look at the invoice from August?,12,Positive,how can i take a quick look at the invoice from august,3
how can I take a quick look at the invoice from last month?,13,Positive,how can i take a quick look at the invoice from last month,3
how can I talk to an agent?,7,Neutral,how can i talk to an agent,3
how can I talk with an assistant?,7,Neutral,how can i talk with an assistant,3
how can I track an order?,6,Neutral,how can i track an order,4
how can I track my last order?,7,Neutral,how can i track my last order,4
how can I track my order?,6,Neutral,how can i track my order,4
how can I unsubscribe to the company newsletter?,8,Neutral,how can i unsubscribe to the company newsletter,0
how can I use another account?,6,Neutral,how can i use another account,1
how can i use my new user profile,8,Positive,how can i use my new user profile,1
how could I buy several of your item?,8,Neutral,how could i buy several of your item,6
how could I buy some items?,6,Neutral,how could i buy some items,6
how could I buy something?,5,Neutral,how could i buy something,6
how could I cancel an order I made?,8,Neutral,how could i cancel an order i made,4
how could I cancel an order?,6,Neutral,how could i cancel an order,4
how could I cancel the company newsletter subscription?,8,Neutral,how could i cancel the company newsletter subscription,0
how could I cancel the last order I have made?,10,Neutral,how could i cancel the last order i have made,4
how could I change an item of an order?,9,Neutral,how could i change an item of an order,4
how could I change my shipping address?,7,Neutral,how could i change my shipping address,2
how could I change the shipping address?,7,Neutral,how could i change the shipping address,2
how could I check how soon can I expect the delivery?,11,Neutral,how could i check how soon can i expect the delivery,3
how could I check if there is any updates on my refund?,12,Neutral,how could i check if there is any updates on my refund,8
how could I check if there is anything wrong with my refund?,12,Negative,how could i check if there is anything wrong with my refund,8
how could I check my invoice?,6,Neutral,how could i check my invoice,3
how could I check my order ETA?,7,Neutral,how could i check my order eta,4
how could I check the cancellation fee?,7,Neutral,how could i check the cancellation fee,3
how could I check the cancellation fees?,7,Neutral,how could i check the cancellation fees,3
how could I check the delivery options?,7,Neutral,how could i check the delivery options,3
how could I check the options for delivery?,8,Neutral,how could i check the options for delivery,3
how could I check the status of my order?,9,Neutral,how could i check the status of my order,4
how could I check the status of my refund?,9,Neutral,how could i check the status of my refund,8
how could I check the status of the refund?,9,Neutral,how could i check the status of the refund,8
how could I check what delivery options are available?,9,Positive,how could i check what delivery options are available,3
how could I check what delivery options I have?,9,Neutral,how could i check what delivery options i have,3
how could I check what delivery options you offer?,9,Neutral,how could i check what delivery options you offer,3
how could I check what hours customer service available is?,10,Positive,how could i check what hours customer service available is,3
how could I check what options for delivery are available?,10,Positive,how could i check what options for delivery are available,3
how could I check what options for delivery I have?,10,Neutral,how could i check what options for delivery i have,3
how could I check what payment methods you accept?,9,Neutral,how could i check what payment methods you accept,3
how could I check your allowed payment methods?,8,Neutral,how could i check your allowed payment methods,3
how could I check your money back policy?,8,Neutral,how could i check your money back policy,8
how could I contact an agent?,6,Neutral,how could i contact an agent,3
how could I contact customer service?,6,Neutral,how could i contact customer service,3
how could I create an account?,6,Neutral,how could i create an account,1
how could I delete an account?,6,Neutral,how could i delete an account,1
how could I delete my account?,6,Neutral,how could i delete my account,1
how could I delete the account?,6,Neutral,how could i delete the account,1
how could I edit my personal information?,7,Neutral,how could i edit my personal information,3
how could I file a complaint?,6,Negative,how could i file a complaint,3
how could I find information about a password recovery?,9,Neutral,how could i find information about a password recovery,3
how could I find information about a user account deletion?,10,Neutral,how could i find information about a user account deletion,1
how could I find information about delivery periods?,8,Neutral,how could i find information about delivery periods,3
how could I find information about forgotten passwords?,8,Neutral,how could i find information about forgotten passwords,3
how could I find information about order cancellations?,8,Neutral,how could i find information about order cancellations,4
how could I find information about the delivery options?,9,Neutral,how could i find information about the delivery options,3
how could I find information about the delivery period?,9,Neutral,how could i find information about the delivery period,3
how could I find information about the delivery periods?,9,Neutral,how could i find information about the delivery periods,3
how could I find information about user account deletions?,9,Neutral,how could i find information about user account deletions,1
how could I find my invoices?,6,Neutral,how could i find my invoices,7
how could I find the invoice from last month?,9,Neutral,how could i find the invoice from last month,3
how could I find the invoices from last month?,9,Neutral,how could i find the invoices from last month,7
how could I get a refund of money?,8,Neutral,how could i get a refund of money,8
how could I get a refund?,6,Neutral,how could i get a refund,8
how could I get information about a password recovery?,9,Neutral,how could i get information about a password recovery,3
how could I get information about a user account deletion?,10,Neutral,how could i get information about a user account deletion,1
how could I get information about delivery period?,8,Neutral,how could i get information about delivery period,3
how could I get information about delivery periods?,8,Neutral,how could i get information about delivery periods,3
how could I get information about forgotten passwords?,8,Neutral,how could i get information about forgotten passwords,3
how could I get information about order cancelations?,8,Neutral,how could i get information about order cancelations,4
how could I get information about order changes?,8,Neutral,how could i get information about order changes,4
how could I get information about the delivery options?,9,Neutral,how could i get information about the delivery options,3
how could I get my invoice?,6,Neutral,how could i get my invoice,3
how could I get my invoices?,6,Neutral,how could i get my invoices,7
how could I get my money back?,7,Neutral,how could i get my money back,8
how could I get refunds of money?,7,Neutral,how could i get refunds of money,8
how could I get refunds?,5,Neutral,how could i get refunds,3
how could I get the invoice from 2 purchases ago?,10,Neutral,how could i get the invoice from 2 purchases ago,7
how could I get the invoice from my last purchase?,10,Neutral,how could i get the invoice from my last purchase,3
how could I get the invoices from 10 months ago?,10,Neutral,how could i get the invoices from 10 months ago,7
how could I get the invoices from last month?,9,Neutral,how could i get the invoices from last month,7
how could I get the invoices from my last purchase?,10,Neutral,how could i get the invoices from my last purchase,7
how could I get the invoices from September?,8,Neutral,how could i get the invoices from september,7
how could I get the invoices?,6,Neutral,how could i get the invoices,7
how could I leave a review for a service?,9,Neutral,how could i leave a review for a service,3
how could I leave a review for your services?,9,Neutral,how could i leave a review for your services,3
how could I make a purchase?,6,Neutral,how could i make a purchase,3
how could I recover my password?,6,Neutral,how could i recover my password,3
how could I register?,4,Neutral,how could i register,3
how could I report a payment issue?,7,Neutral,how could i report a payment issue,3
how could I report a registration issue?,7,Neutral,how could i report a registration issue,3
how could I report an issue with payment?,8,Neutral,how could i report an issue with payment,3
how could I report an issue with payments?,8,Neutral,how could i report an issue with payments,3
how could I report issues with payment?,7,Neutral,how could i report issues with payment,3
how could I report registration issues?,6,Neutral,how could i report registration issues,3
how could I set a new shipping address up?,9,Positive,how could i set a new shipping address up,9
how could I set another shipping address up?,8,Neutral,how could i set another shipping address up,9
how could I set up a different shipping address?,9,Neutral,how could i set up a different shipping address,9
how could I set up a new shipping address?,9,Positive,how could i set up a new shipping address,9
how could I submit some feedback for a service?,9,Neutral,how could i submit some feedback for a service,0
how could I submit some feedback?,6,Neutral,how could i submit some feedback,0
how could I subscribe to your company newsletter?,8,Neutral,how could i subscribe to your company newsletter,0
how could I switch to another account?,7,Neutral,how could i switch to another account,1
how could I switch user?,5,Neutral,how could i switch user,1
how could I talk to an agent?,7,Neutral,how could i talk to an agent,3
how could I track an order?,6,Neutral,how could i track an order,4
how could I track the last order?,7,Neutral,how could i track the last order,4
how could I track the refund?,6,Neutral,how could i track the refund,8
how could I use another account?,6,Neutral,how could i use another account,1
how do I add several items to an order?,9,Neutral,how do i add several items to an order,4
how do I buy some items?,6,Neutral,how do i buy some items,6
how do I buy something?,5,Neutral,how do i buy something,6
how do I cancel an order I made?,8,Neutral,how do i cancel an order i made,4
how do I cancel my order?,6,Neutral,how do i cancel my order,4
how do I cancel the company newsletter subscription?,8,Neutral,how do i cancel the company newsletter subscription,0
how do I cancel the last order I made?,9,Neutral,how do i cancel the last order i made,4
how do I cancel the subscription to your company newsletter?,10,Neutral,how do i cancel the subscription to your company newsletter,0
how do I change my shipping address?,7,Neutral,how do i change my shipping address,2
how do I change the shipping address?,7,Neutral,how do i change the shipping address,2
how do i change to a new profile,8,Positive,how do i change to a new profile,3
how do I check at what time customer service available is?,11,Positive,how do i check at what time customer service available is,3
how do I check at what time I can call customer service?,12,Neutral,how do i check at what time i can call customer service,3
how do I check at what time I can contact customer service?,12,Neutral,how do i check at what time i can contact customer service,3
how do I check how long the delivery takes?,9,Neutral,how do i check how long the delivery takes,3
how do I check if there is anything new on my refund?,12,Positive,how do i check if there is anything new on my refund,8
how do I check if there is anything wrong with my refund?,12,Negative,how do i check if there is anything wrong with my refund,8
how do I check my refund status?,7,Neutral,how do i check my refund status,8
how do I check the cancellation fee?,7,Neutral,how do i check the cancellation fee,3
how do I check the delivery options?,7,Neutral,how do i check the delivery options,3
how do I check the invoice from two purchases ago?,10,Neutral,how do i check the invoice from two purchases ago,7
how do I check the invoice?,6,Neutral,how do i check the invoice,3
